"SalePrice","LotArea","Bedrooms","GarageArea","OverallCond","OverallQual","housetype","YearBuilt","YearRemodAdd","YrSold","HalfBath","FullBath","Garage"
208500,8450,3,548,5,7,"1Fam",2003,2003,2008,1,3,0
181500,9600,3,460,8,6,"1Fam",1976,1976,2007,1,2,0
223500,11250,3,608,5,7,"1Fam",2001,2002,2008,1,3,0
140000,9550,3,642,5,7,"1Fam",1915,1970,2006,0,2,0
250000,14260,4,836,5,8,"1Fam",2000,2000,2008,1,3,0
143000,14115,1,480,5,5,"1Fam",1993,1995,2009,1,2,0
307000,10084,3,636,5,8,"1Fam",2004,2005,2007,0,3,0
200000,10382,3,484,6,7,"1Fam",1973,1973,2009,1,3,0
129900,6120,2,468,5,7,"1Fam",1931,1950,2008,0,2,0
118000,7420,2,205,6,5,"2fmCon",1939,1950,2008,0,2,0
129500,11200,3,384,5,5,"1Fam",1965,1965,2008,0,2,0
345000,11924,4,736,5,9,"1Fam",2005,2006,2006,0,4,0
144000,12968,2,352,6,5,"1Fam",1962,1962,2008,0,2,0
279500,10652,3,840,5,7,"1Fam",2006,2007,2007,0,2,0
157000,10920,2,352,5,6,"1Fam",1960,1960,2008,1,2,0
132000,6120,2,576,8,7,"1Fam",1929,2001,2007,0,1,0
149000,11241,2,480,7,6,"1Fam",1970,1970,2010,0,2,0
90000,10791,2,516,5,4,"Duplex",1967,1967,2006,0,2,0
159000,13695,3,576,5,5,"1Fam",2004,2004,2008,1,2,0
139000,7560,3,294,6,5,"1Fam",1958,1965,2009,0,1,0
325300,14215,4,853,5,8,"1Fam",2005,2006,2006,1,3,0
139400,7449,3,280,7,7,"1Fam",1930,1950,2007,0,1,0
230000,9742,3,534,5,8,"1Fam",2002,2002,2008,0,2,0
129900,4224,3,572,7,5,"TwnhsE",1976,1976,2007,0,2,0
154000,8246,3,270,8,5,"1Fam",1968,2001,2010,0,2,0
256300,14230,3,890,5,8,"1Fam",2007,2007,2009,0,2,0
134800,7200,3,576,7,5,"1Fam",1951,2000,2010,1,1,0
306000,11478,3,772,5,8,"1Fam",2007,2008,2010,0,3,0
207500,16321,2,319,6,5,"1Fam",1957,1997,2006,0,2,0
68500,6324,1,240,6,4,"1Fam",1927,1950,2008,0,1,0
40000,8500,3,250,4,4,"1Fam",1920,1950,2008,0,1,0
149350,8544,3,271,6,5,"1Fam",1966,2006,2008,1,1,0
179900,11049,3,484,5,8,"1Fam",2007,2007,2008,0,2,0
165500,10552,4,447,5,5,"1Fam",1959,1959,2010,2,1,0
277500,7313,2,556,5,9,"TwnhsE",2005,2005,2007,0,3,0
309000,13418,4,691,5,8,"1Fam",2004,2005,2006,1,3,0
145000,10859,3,672,5,5,"1Fam",1994,1995,2009,1,1,0
153000,8532,3,498,6,5,"1Fam",1954,1990,2009,1,1,0
109000,7922,3,246,7,5,"1Fam",1953,2007,2010,0,2,0
82000,6040,2,0,5,4,"Duplex",1955,1955,2008,0,2,1
160000,8658,3,440,5,6,"1Fam",1965,1965,2006,0,2,0
170000,16905,2,308,6,5,"1Fam",1959,1959,2007,2,1,0
144000,9180,2,504,7,5,"1Fam",1983,1983,2007,0,2,0
130250,9200,3,308,6,5,"1Fam",1975,1980,2008,0,2,0
141000,7945,3,300,6,5,"1Fam",1959,1959,2006,0,2,0
319900,7658,2,576,5,9,"TwnhsE",2005,2005,2010,0,3,0
239686,12822,1,670,5,7,"1Fam",2003,2003,2009,1,2,0
249700,11096,3,826,5,8,"1Fam",2006,2006,2007,0,2,0
113000,4456,2,0,5,4,"2fmCon",1920,2008,2009,0,2,1
127000,7742,3,386,7,5,"1Fam",1966,1966,2007,0,2,0
177000,13869,3,388,6,6,"1Fam",1997,1997,2007,1,2,0
114500,6240,3,528,6,6,"1Fam",1934,1950,2006,0,1,0
110000,8472,2,516,5,5,"Duplex",1963,1963,2010,0,2,0
385000,50271,0,894,5,9,"1Fam",1981,1987,2006,1,2,0
130000,7134,3,572,5,5,"1Fam",1955,1955,2007,0,1,0
180500,10175,3,576,5,6,"1Fam",1964,1964,2008,0,2,0
172500,2645,3,480,5,8,"Twnhs",1999,2000,2009,1,3,0
196500,11645,3,565,5,7,"1Fam",2004,2004,2006,1,2,0
438780,13682,3,641,5,10,"1Fam",2006,2006,2006,1,3,0
124900,7200,2,352,7,5,"1Fam",1972,1972,2008,0,1,0
158000,13072,3,576,5,6,"1Fam",2004,2004,2006,1,2,0
101000,7200,3,288,7,5,"1Fam",1920,1996,2007,0,1,0
202500,6442,2,484,5,8,"TwnhsE",2006,2006,2007,0,2,0
140000,10300,3,480,6,7,"1Fam",1921,1950,2010,0,2,0
219500,9375,3,645,5,7,"1Fam",1997,1998,2009,1,3,0
317000,9591,4,852,5,8,"1Fam",2004,2005,2007,1,2,0
180000,19900,3,576,5,7,"1Fam",1970,1989,2010,0,3,0
226000,10665,3,558,5,7,"1Fam",2003,2003,2007,0,3,0
80000,4608,2,220,6,4,"1Fam",1945,1950,2010,0,1,0
225000,15593,3,667,4,7,"1Fam",1953,1953,2006,0,2,0
244000,13651,3,516,6,7,"1Fam",1973,1973,2007,0,3,0
129500,7599,2,360,6,4,"1Fam",1982,2006,2007,0,2,0
185000,10141,3,427,5,7,"1Fam",1998,1998,2009,1,2,0
144900,10200,3,490,7,5,"1Fam",1954,2003,2010,0,2,0
107400,5790,3,379,6,3,"1Fam",1915,1950,2010,0,2,0
91000,1596,2,297,5,4,"Twnhs",1973,1973,2009,0,2,0
135750,8475,2,283,7,4,"1Fam",1956,1956,2008,0,1,0
127000,8635,2,240,5,5,"1Fam",1948,2001,2008,0,2,0
136500,10778,4,0,5,4,"Duplex",1968,1968,2010,0,2,1
110000,10440,2,440,6,5,"1Fam",1910,1981,2009,1,1,0
193500,13000,4,509,6,6,"1Fam",1968,1968,2009,1,2,0
153500,4500,2,405,5,6,"TwnhsE",1998,1998,2006,0,3,0
245000,10206,3,758,5,8,"1Fam",2007,2007,2008,0,2,0
126500,8892,3,461,5,5,"1Fam",1960,1960,2007,1,1,0
168500,8530,3,400,5,7,"1Fam",1995,1996,2009,1,2,0
260000,16059,4,462,5,8,"1Fam",1991,1992,2006,1,2,0
174000,11911,3,400,5,6,"1Fam",2005,2005,2009,1,2,0
164500,3951,2,528,5,6,"TwnhsE",2009,2009,2009,1,2,0
85000,8470,2,0,2,3,"1Fam",1915,1982,2009,0,1,1
123600,8070,3,0,5,4,"1Fam",1994,1995,2007,0,2,1
109900,7200,2,420,5,4,"1Fam",1950,1950,2006,0,1,0
98600,8500,2,480,3,5,"1Fam",1961,1961,2006,0,1,0
163500,13360,2,432,7,5,"1Fam",1921,2006,2009,0,2,0
133900,7200,4,506,6,6,"2fmCon",1910,1998,2007,1,2,0
204750,9337,3,684,5,6,"1Fam",1997,1997,2007,1,3,0
185000,9765,3,420,8,6,"1Fam",1993,1993,2009,1,2,0
214000,10264,3,472,5,7,"1Fam",1999,1999,2006,0,2,0
94750,10921,3,432,5,4,"1Fam",1965,1965,2007,0,2,0
83000,10625,2,366,5,5,"1Fam",1920,1950,2010,0,1,0
128950,9320,3,0,5,4,"1Fam",1959,1959,2010,1,2,1
205000,10603,3,480,7,6,"1Fam",1977,2001,2010,0,3,0
178000,9206,3,476,5,6,"1Fam",1985,1985,2010,1,2,0
118964,7018,4,410,5,5,"Duplex",1979,1979,2009,0,2,0
198900,10402,3,740,5,7,"1Fam",2009,2009,2010,0,2,0
169500,7758,4,240,4,7,"1Fam",1931,1950,2007,1,1,0
250000,9375,3,648,5,8,"1Fam",2003,2004,2008,1,2,0
100000,10800,2,273,7,4,"1Fam",1885,1995,2007,0,1,0
115000,6000,2,250,5,5,"1Fam",1948,1950,2008,0,1,0
115000,8500,3,0,7,5,"1Fam",1919,2005,2007,0,2,1
190000,11751,3,546,6,6,"1Fam",1977,1977,2010,0,2,0
136900,9525,4,325,4,6,"1Fam",1954,1972,2006,0,2,0
180000,7750,3,400,5,7,"1Fam",2000,2000,2010,1,2,0
383970,9965,4,792,5,7,"1Fam",2007,2007,2007,1,3,0
217000,21000,3,450,5,6,"1Fam",1953,1953,2007,0,3,0
259500,7259,3,180,8,6,"1Fam",1945,2002,2007,1,3,0
176000,3230,2,440,5,6,"TwnhsE",1999,1999,2007,1,2,0
139000,11616,3,288,5,5,"1Fam",1962,1962,2009,1,1,0
155000,8536,2,430,5,5,"1Fam",2006,2007,2007,1,1,0
320000,12376,5,594,5,7,"1Fam",1990,1990,2010,0,4,0
163990,8461,3,390,5,6,"1Fam",2005,2006,2006,1,2,0
180000,21453,1,540,5,6,"1Fam",1969,1969,2006,0,2,0
100000,6060,3,264,5,4,"1Fam",1939,1950,2007,0,1,0
136000,9464,3,288,7,6,"1Fam",1958,1958,2008,0,1,0
153900,7892,2,530,5,6,"TwnhsE",1993,1993,2008,0,2,0
181000,17043,3,435,5,6,"1Fam",1979,1998,2009,0,2,0
84500,6780,2,0,8,6,"2fmCon",1935,1982,2006,0,2,1
128000,4928,2,440,5,6,"TwnhsE",1976,1976,2007,0,2,0
87000,4388,3,0,7,5,"1Fam",1930,1950,2007,0,1,1
155000,7590,3,453,5,6,"1Fam",1966,1966,2006,1,1,0
150000,8973,3,750,7,5,"1Fam",1958,1991,2006,2,1,0
226000,14200,4,487,6,7,"1Fam",1966,1966,2006,1,2,0
244000,12224,3,390,5,6,"1Fam",2000,2000,2009,1,3,0
150750,7388,3,624,6,5,"1Fam",1959,2002,2007,0,2,0
220000,6853,2,471,5,8,"1Fam",2001,2002,2009,0,3,0
180000,10335,3,440,6,5,"1Fam",1968,1993,2006,1,2,0
174000,10400,3,530,6,7,"1Fam",1970,1970,2008,0,2,0
143000,10355,3,318,5,5,"1Fam",1967,1967,2007,0,2,0
171000,11070,5,766,5,7,"Duplex",1988,1989,2006,0,3,0
230000,9066,3,660,5,8,"1Fam",1999,2000,2008,1,2,0
231500,15426,3,470,5,6,"1Fam",1997,1997,2009,1,3,0
115000,10500,3,0,5,4,"1Fam",1971,1971,2010,0,1,1
260000,11645,3,660,5,7,"1Fam",2005,2005,2006,0,3,0
166000,8520,4,720,4,5,"1Fam",1952,1952,2010,0,2,0
204000,10335,3,577,5,7,"1Fam",1999,1999,2009,0,3,0
125000,9100,6,504,5,5,"Duplex",1963,1963,2006,0,3,0
130000,2522,3,380,5,6,"Twnhs",2004,2006,2006,0,2,0
105000,6120,2,180,7,5,"1Fam",1931,1993,2009,0,2,0
222500,9505,3,434,5,7,"1Fam",2001,2001,2010,1,2,0
141000,7500,3,0,5,7,"1Fam",2004,2005,2008,0,2,1
115000,6240,3,240,4,5,"1Fam",1936,1950,2006,0,1,0
122000,10356,3,440,6,5,"1Fam",1975,1975,2007,1,1,0
372402,13891,2,866,5,8,"1Fam",2007,2008,2008,0,3,0
190000,14803,4,495,5,6,"1Fam",1971,1971,2006,1,2,0
235000,13500,1,564,7,6,"1Fam",1960,1975,2008,0,2,0
125000,11340,4,312,5,6,"1Fam",1923,1950,2006,0,1,0
79000,9600,2,0,5,6,"1Fam",1924,1950,2008,0,1,1
109500,7200,2,625,7,5,"1Fam",1950,1950,2006,0,1,0
269500,12003,4,680,5,8,"1Fam",2009,2010,2010,1,2,0
254900,12552,3,678,5,7,"1Fam",2004,2005,2010,1,2,0
320000,19378,4,576,5,7,"1Fam",2005,2006,2006,1,3,0
162500,11120,3,516,6,6,"1Fam",1984,1984,2008,0,2,0
412500,13688,3,726,5,9,"1Fam",2003,2004,2008,1,3,0
220000,12182,3,532,5,7,"1Fam",2005,2005,2010,0,2,0
103200,5500,1,0,6,4,"1Fam",1956,1956,2007,0,1,1
152000,5400,3,216,7,6,"1Fam",1926,2004,2007,0,2,0
127500,10106,4,0,7,5,"2fmCon",1940,1999,2008,0,3,1
190000,10708,2,303,5,5,"1Fam",1955,1993,2009,0,2,0
325624,10562,3,789,5,8,"1Fam",2007,2007,2007,1,2,0
183500,8244,3,440,5,7,"1Fam",2004,2004,2007,1,2,0
228000,16669,2,511,6,8,"1Fam",1981,1981,2006,1,2,0
128500,12358,2,660,6,5,"1Fam",1941,1950,2007,1,1,0
215000,31770,3,528,5,6,"1Fam",1960,1960,2010,0,2,0
239000,5306,2,504,7,7,"TwnhsE",1987,1987,2006,0,3,0
163000,10197,3,504,5,6,"1Fam",1961,1961,2008,1,2,0
184000,12416,3,616,5,6,"1Fam",1986,1986,2008,0,3,0
243000,12615,4,576,7,6,"1Fam",1950,2001,2007,0,3,0
211000,10029,4,521,5,6,"1Fam",1988,1989,2007,2,2,0
172500,13650,4,451,5,5,"1Fam",1958,1958,2006,0,3,0
501837,17423,1,1166,5,9,"1Fam",2008,2009,2009,0,3,0
100000,8520,2,480,6,5,"1Fam",1923,2006,2007,0,1,0
177000,2117,3,440,5,6,"Twnhs",2000,2000,2007,1,2,0
200100,7588,4,216,6,7,"1Fam",1920,1950,2006,1,1,0
120000,9060,3,252,6,5,"1Fam",1957,2006,2007,0,1,0
200000,11426,3,484,5,7,"1Fam",2003,2003,2008,1,2,0
127000,7438,3,576,8,5,"1Fam",1908,1991,2006,0,1,0
475000,22950,4,840,9,10,"1Fam",1892,1993,2006,1,2,0
173000,9947,3,497,5,7,"1Fam",1990,1991,2009,0,3,0
135000,10410,3,180,7,5,"1Fam",1916,1987,2009,1,2,0
153337,7018,2,528,5,5,"Duplex",1979,1979,2009,2,2,0
286000,4923,0,682,5,8,"TwnhsE",2001,2002,2008,1,2,0
315000,10570,3,440,8,8,"1Fam",1932,1994,2007,1,2,0
184000,7472,4,484,9,7,"1Fam",1972,2004,2007,1,2,0
192000,9017,3,666,5,7,"1Fam",1999,1999,2009,0,3,0
130000,2522,3,380,5,7,"Twnhs",2004,2004,2006,0,2,0
127000,7180,3,352,7,5,"1Fam",1972,1972,2008,0,1,0
148500,2280,3,440,6,6,"Twnhs",1976,1976,2009,1,2,0
311872,9416,3,786,5,7,"1Fam",2007,2007,2007,0,3,0
235000,25419,4,795,4,8,"1Fam",1918,1990,2006,1,3,0
104000,5520,5,0,6,6,"1Fam",1912,1950,2009,0,1,1
274900,9591,3,856,5,8,"1Fam",2004,2005,2009,0,3,0
140000,8546,2,440,5,4,"1Fam",2003,2004,2010,0,2,0
171500,10125,3,473,6,6,"1Fam",1977,1977,2008,1,2,0
112000,7000,2,398,6,6,"1Fam",1924,1950,2006,0,2,0
149000,4438,1,420,5,6,"TwnhsE",2004,2004,2008,0,2,0
110000,3500,2,240,7,5,"1Fam",1947,1950,2009,1,1,0
180500,11851,3,500,5,7,"1Fam",1990,1990,2009,0,2,0
143900,13673,3,349,5,5,"1Fam",1962,1962,2007,1,1,0
141000,12493,3,312,5,4,"1Fam",1960,1960,2008,0,2,0
277000,14364,3,454,5,7,"1Fam",1988,1989,2007,1,3,0
145000,8250,3,504,7,6,"1Fam",1964,1964,2008,0,2,0
98000,5604,2,0,6,5,"1Fam",1925,1950,2008,0,2,1
186000,10420,3,460,5,6,"1Fam",2009,2009,2010,0,2,0
252678,8640,3,644,5,7,"1Fam",2009,2009,2009,1,3,0
156000,13568,3,576,5,5,"1Fam",1995,1995,2006,1,1,0
161750,10900,3,299,7,6,"1Fam",1977,1977,2010,1,1,0
134450,10011,2,447,6,5,"1Fam",1957,1996,2006,1,1,0
210000,8450,3,484,5,7,"1Fam",2004,2004,2008,0,3,0
107000,9906,3,210,4,4,"1Fam",1925,1950,2006,0,1,0
311500,15660,3,431,9,7,"1Fam",1939,2006,2008,2,1,0
167240,3010,2,438,5,7,"TwnhsE",2005,2006,2006,0,2,0
204900,8990,2,675,5,7,"1Fam",2006,2006,2006,0,2,0
200000,8068,4,390,5,6,"1Fam",2002,2002,2009,1,2,0
179900,11475,3,434,6,6,"1Fam",1975,1975,2006,1,3,0
97000,10500,2,576,6,4,"1Fam",1971,1971,2009,0,1,0
386250,13472,3,968,5,10,"1Fam",2003,2003,2009,0,2,0
112000,1680,3,280,5,5,"Twnhs",1971,1971,2009,1,2,0
290000,9950,4,721,5,7,"1Fam",1995,1995,2007,1,2,0
106000,1869,2,280,6,6,"Twnhs",1970,1970,2008,1,1,0
125000,8521,3,336,5,5,"1Fam",1967,1967,2010,0,1,0
192500,3182,2,430,5,7,"TwnhsE",2005,2006,2009,0,2,0
148000,8760,3,312,6,6,"1Fam",1959,1959,2010,0,2,0
403000,15138,4,810,5,8,"1Fam",1995,1996,2009,1,3,0
94500,1680,2,288,5,6,"Twnhs",1972,1972,2006,1,1,0
128200,10650,3,308,6,5,"1Fam",1976,1976,2010,0,2,0
216500,7851,4,440,5,6,"1Fam",2002,2002,2010,1,3,0
89500,1680,2,264,3,6,"TwnhsE",1971,1971,2008,1,1,0
185500,8773,3,494,5,7,"1Fam",2004,2004,2010,0,2,0
194500,9453,3,457,7,7,"1Fam",1993,2003,2010,1,2,0
318000,12030,3,818,5,8,"1Fam",2007,2007,2007,0,2,0
113000,8741,3,220,4,6,"1Fam",1945,1950,2010,1,1,0
262500,9000,3,750,5,8,"1Fam",2008,2008,2010,0,3,0
110500,3880,2,0,9,5,"1Fam",1945,1997,2007,0,1,1
79000,5000,3,352,4,5,"1Fam",1900,1950,2006,0,1,0
120000,10762,3,288,6,6,"TwnhsE",1980,1980,2009,1,1,0
205000,8880,3,463,5,7,"1Fam",1994,2002,2010,1,3,0
241500,10400,3,604,5,7,"1Fam",1988,1988,2006,1,2,0
137000,9142,4,440,8,6,"2fmCon",1910,1950,2006,0,2,0
140000,11310,2,451,5,6,"1Fam",1954,1954,2006,0,1,0
180000,11317,3,500,5,7,"1Fam",2003,2003,2007,1,2,0
277000,159000,4,389,7,6,"1Fam",1958,2006,2007,1,2,0
76500,5350,3,0,2,3,"1Fam",1940,1966,2010,0,1,1
235000,4750,2,538,5,8,"TwnhsE",2006,2007,2007,1,3,0
173000,8366,3,520,5,6,"1Fam",2004,2004,2008,1,2,0
158000,9350,3,309,7,6,"1Fam",1964,1991,2007,1,2,0
145000,8400,3,294,6,5,"1Fam",1957,1957,2010,0,2,0
230000,8738,4,429,5,7,"1Fam",1999,1999,2006,1,2,0
207500,8791,3,673,5,6,"1Fam",2003,2003,2008,1,2,0
220000,8814,3,660,5,7,"1Fam",2006,2006,2009,1,3,0
231500,12435,3,564,5,7,"1Fam",2001,2001,2008,1,2,0
97000,12702,2,308,5,5,"1Fam",1956,1956,2008,0,1,0
176000,19296,3,884,5,6,"1Fam",1962,1962,2009,0,2,0
276000,9588,3,868,5,8,"1Fam",2007,2007,2007,1,2,0
151000,8471,3,492,7,6,"1Fam",1977,1995,2006,0,2,0
130000,5500,3,484,7,5,"1Fam",1929,2001,2010,0,2,0
73000,5232,2,504,5,5,"1Fam",1925,2004,2008,0,1,0
175500,12090,3,576,6,6,"1Fam",1981,1981,2008,0,2,0
185000,11207,3,413,5,6,"1Fam",1997,1997,2006,1,3,0
179500,8400,4,240,8,5,"1Fam",1939,1997,2008,1,2,0
120500,6900,2,924,6,5,"1Fam",1940,1955,2008,0,1,0
148000,7917,3,504,7,6,"1Fam",1976,1976,2007,1,2,0
266000,10728,3,1053,5,8,"1Fam",2006,2006,2006,1,2,0
241500,39104,2,439,7,7,"1Fam",1954,2005,2008,0,2,0
290000,11764,4,671,7,8,"1Fam",1999,2007,2010,1,2,0
139000,9600,3,338,6,6,"1Fam",1958,1988,2009,0,3,0
124500,8314,2,264,7,5,"1Fam",1982,1982,2007,0,1,0
205000,7264,3,672,7,7,"1Fam",1925,2007,2009,1,2,0
201000,9196,3,573,5,7,"1Fam",2003,2003,2010,0,2,0
141000,19138,2,400,5,4,"1Fam",1951,1951,2010,0,1,0
415298,14450,3,732,5,9,"1Fam",2006,2007,2007,1,2,0
192000,10005,4,505,5,7,"1Fam",1977,1977,2008,1,2,0
228500,11287,3,575,6,7,"1Fam",1989,1989,2007,1,2,0
185000,7200,2,572,5,6,"1Fam",2006,2006,2006,0,2,0
207500,5063,2,626,5,7,"Twnhs",2007,2008,2009,0,3,0
244600,9612,3,898,5,8,"1Fam",2008,2009,2009,0,2,0
179200,8012,2,529,5,6,"TwnhsE",1992,1992,2007,0,3,0
164700,4251,2,528,5,7,"TwnhsE",2006,2007,2007,1,2,0
159000,9786,3,440,7,6,"1Fam",1962,1981,2006,1,1,0
88000,8125,3,0,4,4,"1Fam",1971,1971,2006,0,1,1
122000,9819,3,280,5,5,"1Fam",1967,1967,2010,0,1,0
153575,8730,3,384,7,6,"1Fam",1915,2003,2007,0,1,0
233230,15611,3,685,5,8,"1Fam",2006,2006,2006,1,2,0
135900,5687,6,0,6,5,"2fmCon",1912,2000,2008,0,3,1
131000,11409,3,281,4,5,"1Fam",1949,2008,2009,1,1,0
235000,16659,3,539,7,7,"1Fam",1977,1994,2006,1,3,0
167000,9600,3,418,5,6,"1Fam",1953,1953,2009,0,2,0
142500,7937,3,588,6,6,"1Fam",1984,1984,2006,0,2,0
152000,13710,4,282,5,5,"1Fam",1950,1950,2007,1,1,0
239000,7399,3,576,5,7,"1Fam",1997,1998,2007,1,2,0
175000,11700,3,539,6,6,"1Fam",1968,1968,2007,3,1,0
158500,14000,3,300,8,6,"1Fam",1950,2004,2009,1,1,0
157000,15750,2,375,5,5,"2fmCon",1953,1953,2006,0,2,0
267000,16226,4,683,5,8,"1Fam",1998,1999,2007,1,2,0
205000,13704,3,843,5,7,"1Fam",2001,2002,2006,0,2,0
149900,9800,3,552,7,5,"1Fam",1972,1972,2006,0,2,0
295000,18386,3,870,9,7,"1Fam",1880,2002,2008,0,3,0
305900,10386,3,888,5,8,"1Fam",2004,2005,2007,0,3,0
225000,13474,4,746,5,7,"1Fam",1990,1991,2007,1,3,0
89500,7920,3,0,7,6,"1Fam",1920,1950,2008,0,1,1
82500,12342,1,539,5,4,"1Fam",1940,1950,2009,0,1,0
360000,12378,3,708,5,9,"1Fam",2003,2004,2006,0,3,0
165600,7685,3,420,5,6,"1Fam",1993,1994,2006,1,2,0
132000,8000,2,240,6,6,"1Fam",1948,2002,2009,0,2,0
119900,7800,3,410,7,5,"2fmCon",1939,1950,2006,0,2,0
375000,215245,3,513,5,7,"1Fam",1965,1965,2009,0,4,0
178000,9600,3,546,7,7,"1Fam",1925,1990,2006,2,1,0
188500,7795,3,432,5,7,"1Fam",2004,2005,2009,1,3,0
260000,13005,4,484,7,7,"1Fam",1980,1980,2009,1,3,0
270000,9000,3,1025,5,8,"1Fam",2006,2006,2007,1,2,0
260000,9900,4,656,5,7,"1Fam",1993,1993,2009,1,3,0
187500,14115,3,588,5,7,"1Fam",1980,1980,2009,0,3,0
342643,16259,4,840,5,9,"1Fam",2006,2006,2006,1,3,0
354000,12099,4,872,5,8,"1Fam",2004,2004,2007,1,3,0
301000,10380,4,576,5,7,"1Fam",1986,1987,2007,1,3,0
126175,5820,3,220,8,3,"1Fam",1955,2005,2006,0,2,0
242000,11275,5,564,7,7,"1Fam",1967,2007,2010,1,2,0
87000,5000,2,360,6,5,"1Fam",1941,1950,2007,0,1,0
324000,10846,1,473,5,8,"TwnhsE",1993,1993,2008,1,3,0
145250,11600,3,292,5,6,"1Fam",1960,1960,2006,1,1,0
214500,11888,5,441,6,6,"1Fam",1916,1994,2009,0,2,0
78000,6402,3,189,5,5,"1Fam",1920,1950,2009,0,1,0
119000,10624,6,352,4,5,"Duplex",1964,1964,2007,1,2,0
139000,8176,3,308,6,5,"1Fam",1958,1992,2007,0,2,0
284000,10655,3,880,5,8,"1Fam",2003,2004,2009,0,3,0
207000,8198,2,484,5,7,"TwnhsE",2004,2004,2008,0,3,0
192000,9042,3,472,5,6,"1Fam",1998,1998,2008,1,3,0
228950,164660,3,529,6,5,"2fmCon",1965,1965,2008,0,4,0
377426,14157,3,676,5,9,"1Fam",2005,2006,2007,0,3,0
214000,9135,3,532,5,7,"1Fam",2002,2003,2008,0,3,0
202500,14145,3,440,7,7,"1Fam",1984,1998,2006,0,3,0
155000,12400,3,297,7,6,"1Fam",1958,1998,2009,0,1,0
202900,14191,4,431,5,8,"1Fam",2002,2002,2010,1,2,0
82000,8400,2,294,4,4,"1Fam",1950,1950,2009,0,1,0
87500,8544,2,400,4,3,"Duplex",1949,1950,2006,0,2,0
266000,8849,2,564,5,9,"TwnhsE",2005,2005,2008,0,2,0
85000,2592,3,336,3,5,"TwnhsE",1976,1976,2010,1,1,0
140200,6435,3,312,5,6,"1Fam",1939,1950,2006,0,1,0
151500,12772,2,301,8,6,"1Fam",1960,1998,2007,0,1,0
157500,17600,3,498,5,6,"1Fam",1960,1960,2009,0,3,0
154000,2448,2,474,5,7,"Twnhs",2003,2004,2008,1,3,0
437154,20431,4,706,5,9,"1Fam",2005,2006,2006,1,3,0
318061,7820,2,617,5,9,"TwnhsE",2007,2007,2007,0,2,0
190000,5271,2,445,5,7,"1Fam",1986,1986,2006,1,2,0
95000,9084,3,200,6,5,"1Fam",1941,1950,2008,1,1,0
105900,8520,2,484,8,6,"1Fam",1928,2003,2010,0,1,0
140000,8400,2,240,5,6,"1Fam",1940,2000,2006,0,1,0
177500,11249,3,521,5,6,"1Fam",1995,1995,2007,0,3,0
173000,9248,3,400,6,6,"1Fam",1992,1992,2009,0,3,0
134000,4224,3,528,5,5,"TwnhsE",1976,1976,2007,1,2,0
130000,6930,3,288,4,5,"1Fam",1958,1958,2006,1,1,0
280000,12011,3,592,5,8,"1Fam",1998,1998,2006,1,3,0
156000,7540,2,470,6,6,"1Fam",1978,1978,2007,0,2,0
145000,9144,3,240,5,5,"1Fam",1940,1982,2008,0,2,0
